`acidity,alcohol,body,classes,food_matching,grape,label2,name_en,name_ko,png,price,sweet,tanin,vintage,winery
3,11~12 %,3,로제,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) ,킬리빙빙  Killibinbin,"Killibinbin, Sweet Lips","킬리빙빙, 스윗 립스",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167941.png,가격정보없음,2,1,2019,사우스 오스트레일리아(South Australia)
3,13~14 %,3,화이트,디저트,샤르도네 (Chardonnay) ,킬리빙빙  Killibinbin,"Killibinbin, Sweet Heart","킬리빙빙, 스윗 하트",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167940.png,가격정보없음,4,1,2019,사우스 오스트레일리아(South Australia)
4,12~13 %,4,로제,추천 정보 없음,피노 누아 (Pinot Noir) ,발레피치올라  Vallepicciola,Lugherino Pinot Noir Rose,루게리노 피노 누아 로제,https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167939.png,가격정보없음,1,1,2019,토스카나(Toscana)
3,12~13 %,3,화이트,추천 정보 없음,샤르도네 (Chardonnay) ,발레피치올라  Vallepicciola,Lugherino Chardonnay,루게리노 샤르도네,https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167938.png,가격정보없음,1,1,2019,토스카나(Toscana)
4,14~15 %,4,레드,추천 정보 없음,템프라니요 (Tempranillo) ,마르께스 데 리스칼  Marques de Riscal,"Marques de Riscal, XR Reserva","마르께스 데 리스칼, XR 레세르바",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167937.png,"130,000원",1,4,2013,리오하(Rioja)
4,12~13 %,4,화이트,추천 정보 없음,온다라비 주리 (Hondarrabi Zuri) ,마르께스 데 리스칼  Marques de Riscal,"Marques de Riscal, Txakolina","마르께스 데 리스칼, 차콜리",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167936.png,"75,000원",1,1,2019,차콜리 데  구에타리아 헤타리코 차콜리나(Chacoli de Guetaria (Getariako Txakolina))
3,14~15 %,3,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) 100%,Paulett Wines  파울렛,"Paulett, Polish Hill River Shiraz","파울렛, 폴리쉬 힐 리버 쉬라즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167935.png,"74,000원",1,4,2016,사우스 오스트레일리아(South Australia)
3,14~15 %,3,레드,추천 정보 없음,카베르네 소비뇽 (Cabernet Sauvignon) 70%,Paulett Wines  파울렛,"Paulett, Polish Hill River Cabernet Merlot","파울렛, 폴리쉬 힐 리버 까베르네 메를로",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167934.png,"74,000원",1,4,2014,사우스 오스트레일리아(South Australia)
4,12~13 %,4,화이트,"연어, 참치, 초밥",리슬링 (Riesling) 100%,Paulett Wines  파울렛,"Paulett, Polish Hill River Riesling","파울렛, 폴리쉬 힐 리버 리슬링",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167933.png,"74,000원",1,1,2018,사우스 오스트레일리아(South Australia)
4,14 %,4,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) 100%,바로싸 보이  Barossa Boy Wines,"Barossa Boy, Lifeblood","바로싸 보이, 라이프블러드",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167932.png,"258,000원",1,4,2016,사우스 오스트레일리아(South Australia)
4,14 %,4,레드,추천 정보 없음,마타로 (Mataro) 100%,바로싸 보이  Barossa Boy Wines,"Barossa Boy, Young Wisdom","바로싸 보이, 영 위스덤",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167931.png,"178,000원",1,5,2018,사우스 오스트레일리아(South Australia)
3,14 %,3,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) 50%,바로싸 보이  Barossa Boy Wines,"Barossa Boy, Double Trouble","바로싸 보이, 더블 트러블",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167930.png,"104,000원",1,4,2016,사우스 오스트레일리아(South Australia)
3,14 %,3,레드,추천 정보 없음,그르나슈 (Grenache) 50%,바로싸 보이  Barossa Boy Wines,"Barossa Boy, Little Tacker","바로싸 보이, 리틀 태커",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167929.png,"104,000원",1,4,2017,사우스 오스트레일리아(South Australia)
4,12 %,4,화이트,추천 정보 없음,리슬링 (Riesling) 100%,바로싸 보이  Barossa Boy Wines,"Barossa Boy, Cheeky Tilly","바로싸 보이, 치키 틸리",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167928.png,"98,000원",1,1,2019,사우스 오스트레일리아(South Australia)
3,14~15 %,3,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) 100%,제이씨스 오운  JC’s Own,"JC's Own, Greenock Barossa Shiraz","제이씨스 오운, 그리녹 바로싸 쉬라즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167927.png,"258,000원",1,5,2017,사우스 오스트레일리아(South Australia)
3,14 %,3,레드,추천 정보 없음,그르나슈 (Grenache) ,제이씨스 오운  JC’s Own,"JC's Own, Rock:It","제이씨스 오운, 로킷",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167926.png,"190,000원",1,4,2018,사우스 오스트레일리아(South Australia)
4,14~15 %,4,레드,추천 정보 없음,그르나슈 (Grenache) 100%,제이씨스 오운  JC’s Own,"JC's Own, Angaston Foothill Barossa Grenache","제이씨스 오운, 앵거스톤 풋힐 바로싸 그르나슈  ",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167925.png,"190,000원",1,4,2017,사우스 오스트레일리아(South Australia)
4,14~15 %,4,레드,추천 정보 없음,그르나슈 (Grenache) 100%,제이씨스 오운  JC’s Own,"JC's Own, Bluebird","제이씨스 오운, 블루버드",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167924.png,"134,000원",1,3,2018,사우스 오스트레일리아(South Australia)
5,12~13 %,5,화이트,추천 정보 없음,마르산느 (Marsanne) ,제이씨스 오운  JC’s Own,"JC's Own, Freestyler","제이씨스 오운, 프리스타일러",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167923.png,"134,000원",1,1,2019,사우스 오스트레일리아(South Australia)
4,12~13 %,4,스파클링,치즈,샤르도네 (Chardonnay) ,쿠바제  Cuvage,"Cuvage, Blanc de Blanc Metodo Classico","쿠바제, 블랑드블랑 메토도 클라시코",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167922.png,가격정보없음,1,1,"NA, ",피에몬테(Piemonte)
4,11~12 %,4,스파클링,추천 정보 없음,바르베라 (Barbera) ,쿠바제  Cuvage,"Cuvage, Acquesi Rosato Brut","쿠바제, 아케시 로사토 브뤼",https://wine21.speedgabia.com/no_image2.jpg,가격정보없음,1,1,", 75",피에몬테(Piemonte)
3,11~12 %,3,스파클링,디저트,코르테제 (Cortese) ,쿠바제  Cuvage,"Cuvage, Acquesi Marengo","쿠바제, 아케시 마렝고",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167920.png,가격정보없음,4,1,"NA, ",피에몬테(Piemonte)
3,7~8 %,3,스파클링,추천 정보 없음,모스카토  (Moscato ) ,쿠바제  Cuvage,"Cuvage, Acquesi Asti","쿠바제, 아케시 아스티",https://wine21.speedgabia.com/no_image2.jpg,가격정보없음,4,1,", 75",피에몬테(Piemonte)
4,11~12 %,4,스파클링,"한국음식,식전주,닭볶음탕,생선회,과일,파스타,샐러드",피노 그리지오 (Pinot Grigio) ,바로네 몬탈토  Barone Montalto,"Barone Montalto, Premiere Cuvee","바로네 몬탈토, 프리미어 쿠베",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167918.png,가격정보없음,1,1,"NA, ",시칠리아(Sicilia)
3,14~15 %,3,레드,"소고기,파스타",카베르네 소비뇽 (Cabernet Sauvignon) ,바로네 몬탈토  Barone Montalto,"Barone Montalto, Collezione di Familia Cabernet Sauvignon","바로네 몬탈토, 꼴레지오니 디 파밀리아 까베르네쇼비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167917.png,가격정보없음,1,3,"NA, ",시칠리아(Sicilia)
3,14~15 %,3,레드,치즈,시라/쉬라즈 (Syrah/Shiraz) ,바로네 몬탈토  Barone Montalto,"Barone Montalto, Collezione di Familia Syrah","바로네 몬탈토, 꼴레지오니 디 파밀리아 시라 ",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167916.png,가격정보없음,1,3,"NA, ",시칠리아(Sicilia)
3,14~15 %,3,레드,"치즈,파스타",네로 다볼라 (Nero d'Avola) ,바로네 몬탈토  Barone Montalto,"Barone Montalto, Ammasso Rosso","바로네 몬탈토, 아마소",https://wine21.speedgabia.com/WINE_MST/TITLE/0167000/W0167915.png,가격정보없음,1,3,"NA, ",시칠리아(Sicilia)
